invoice_number,vendor_id,po_number,po_line_item,vendor_material_description,quantity,unit_price,total_amount,invoice_date,due_date,currency,payment_status
INV500001,V10001,PO200001,1,"Dell Latitude 5520 Laptop Computer",5,3500.00,17500.00,2023-02-20,2023-03-22,USD,Paid
INV500002,V10001,PO200001,2,"Logitech MX Keys Wireless Keyboard",10,450.00,4500.00,2023-02-20,2023-03-22,USD,Paid
INV500003,V10003,PO200002,1,"HP LaserJet Pro Printer",2,1200.00,2400.00,2023-02-25,2023-03-27,ILS,Paid
INV500004,V10002,PO200003,1,"LG Air Conditioner 12000BTU Wall Mount",3,2200.00,6600.00,2023-03-08,2023-06-06,EUR,Paid
INV500005,V10002,PO200003,2,"Philips LED Bulb 15W Warm White",50,35.00,1750.00,2023-03-08,2023-06-06,EUR,Paid
INV500006,V10005,PO200004,1,"Corsair Memory Module 16GB DDR4",20,280.00,5600.00,2023-03-05,2023-04-04,USD,Paid
INV500007,V10007,PO200005,1,"ASUS WiFi6 Wireless Router",4,420.00,1680.00,2023-03-10,2023-03-10,ILS,Paid
INV500008,V10010,PO200006,1,"DXRacer Gaming Chair Black",8,1200.00,9600.00,2023-03-20,2023-04-19,USD,Paid
INV500009,V10001,PO200007,1,"HP EliteBook Laptop Business Series",3,4200.00,12600.00,2023-03-25,2023-04-24,USD,Paid
INV500010,V10004,PO200008,1,"USB-C Cable 2 Meter Length",100,45.00,4500.00,2023-03-15,2023-03-15,ILS,Paid
INV500011,V10006,PO200009,1,"Network Switch 24-Port Managed",2,580.00,1160.00,2023-03-30,2023-06-28,EUR,Paid
INV500012,V10008,PO200010,1,"Brother Label Printer Thermal",5,520.00,2600.00,2023-04-05,2023-04-05,ILS,Paid
INV500013,V10012,PO200011,1,"HDMI Cable 4K Support 3m",25,65.00,1625.00,2023-04-10,2023-05-10,USD,Paid
INV500014,V10015,PO200012,1,"Epson EcoTank Color Printer",1,1450.00,1450.00,2023-04-15,2023-04-15,ILS,Paid
INV500015,V10020,PO200013,1,"Dell Latitude Laptop Model 5520",2,3500.00,7000.00,2023-04-20,2023-05-20,USD,Pending
INV500016,V10025,PO200014,1,"Ergonomic Office Chair Leather",12,950.00,11400.00,2023-05-02,2023-08-01,EUR,Paid
INV500017,V10030,PO200015,1,"CAT6 Network Cable Shielded 10m",50,85.00,4250.00,2023-04-25,2023-04-25,ILS,Paid
INV500018,V10002,PO200016,1,"Tadiran Mini Split AC 18000 BTU",1,3200.00,3200.00,2023-05-08,2023-08-06,EUR,Paid
INV500019,V10007,PO200017,1,"32GB DDR5 Memory Module",10,650.00,6500.00,2023-05-10,2023-05-10,ILS,Paid
INV500020,V10011,PO200018,1,"Wireless Keyboard Mouse Combo",15,220.00,3300.00,2023-05-15,2023-06-14,USD,Paid
INV500021,V10018,PO200019,1,"Office Cabinet 3 Shelves",6,850.00,5100.00,2023-05-25,2023-05-25,ILS,Paid
INV500022,V10022,PO200020,1,"Samsung Galaxy Tablet",4,1200.00,4800.00,2023-06-02,2023-07-02,USD,Paid
INV500023,V10001,PO200021,1,"Microsoft Ergonomic Mouse Optical",30,180.00,5400.00,2023-06-05,2023-07-05,USD,Paid
INV500024,V10005,PO200022,1,"Kingston SSD Drive 1TB",15,380.00,5700.00,2023-06-08,2023-07-08,USD,Paid
INV500025,V10009,PO200023,1,"LG UltraWide Monitor 27 inch",2,1150.00,2300.00,2023-06-15,2023-07-15,EUR,Pending
INV500026,V10014,PO200024,1,"Xiaomi Smart LED Light Bulb",20,95.00,1900.00,2023-06-20,2023-06-20,ILS,Paid
INV500027,V10017,PO200025,1,"Logitech Webcam C920 HD",8,320.00,2560.00,2023-06-25,2023-07-25,USD,Paid
